layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer4.0.conv3.weight,92,45,layer4.0.conv3.weight_ch92_w45,-3.117230153293349e-05,0.01814659684896469,0.01817777007818222,583.1385498046875,2,218.39425659179688
layer2.2.conv2.weight,53,1055,layer2.2.conv2.weight_ch53_w1055,-3.6172608815832064e-05,-0.013675093650817871,0.013638921082019806,377.05108642578125,2,232.69427490234375
layer3.5.conv3.weight,356,220,layer3.5.conv3.weight_ch356_w220,1.022202650347026e-05,0.0038332657422870398,0.003823043778538704,374.0005798339844,2,204.21392822265625
layer4.0.conv3.weight,1471,298,layer4.0.conv3.weight_ch1471_w298,1.6765145119279623e-05,-0.006061812862753868,0.006078578066080809,362.5723571777344,2,183.11932373046875
layer3.0.conv2.weight,41,2083,layer3.0.conv2.weight_ch41_w2083,-3.5343433410162106e-05,-0.011678853072226048,0.01164350938051939,329.4391174316406,4,169.94517517089844
layer4.0.conv3.weight,1270,94,layer4.0.conv3.weight_ch1270_w94,4.675634409068152e-05,0.014330289326608181,0.014283533208072186,305.4886779785156,2,219.80873107910156
layer4.0.conv3.weight,92,13,layer4.0.conv3.weight_ch92_w13,-5.496077210409567e-05,-0.013821990229189396,0.013767029158771038,250.48828125,3,218.39425659179688
layer3.5.conv3.weight,482,183,layer3.5.conv3.weight_ch482_w183,0.00016639177920296788,-0.037528082728385925,0.03769447281956673,226.5404815673828,2,586.06103515625
layer3.0.conv2.weight,41,272,layer3.0.conv2.weight_ch41_w272,-5.473450437420979e-05,-0.0114336758852005,0.011378941126167774,207.8933868408203,5,169.94517517089844
layer4.0.conv3.weight,1270,220,layer4.0.conv3.weight_ch1270_w220,-3.1083880458027124e-05,-0.006158105097711086,0.00612702127546072,197.1125030517578,3,219.80873107910156
layer4.0.conv3.weight,1471,225,layer4.0.conv3.weight_ch1471_w225,5.5111770052462816e-05,0.01047818548977375,0.010423073545098305,189.12608337402344,3,183.11932373046875
layer3.5.conv3.weight,356,195,layer3.5.conv3.weight_ch356_w195,2.7933911042055115e-05,0.004676281940191984,0.0046483478508889675,166.4051971435547,3,204.21392822265625
layer4.0.conv3.weight,1989,84,layer4.0.conv3.weight_ch1989_w84,4.206346420687623e-05,-0.006188317202031612,0.006230380851775408,148.11859130859375,2,96.66287231445312
layer4.0.conv3.weight,92,131,layer4.0.conv3.weight_ch92_w131,-2.2455405996879563e-05,0.0032353175338357687,0.003257772885262966,145.0774383544922,4,218.39425659179688
layer4.0.conv3.weight,2024,170,layer4.0.conv3.weight_ch2024_w170,-6.437312549678609e-05,-0.00938630010932684,0.009321927092969418,144.81085205078125,2,84.30793762207031
layer4.0.conv3.weight,1270,328,layer4.0.conv3.weight_ch1270_w328,-0.00013946887338533998,-0.019939610734581947,0.01980014145374298,141.96817016601562,4,219.80873107910156
layer2.2.conv2.weight,53,250,layer2.2.conv2.weight_ch53_w250,-7.909012492746115e-05,-0.010439593344926834,0.010360503569245338,130.9961700439453,3,232.69427490234375
layer4.0.conv3.weight,32,388,layer4.0.conv3.weight_ch32_w388,-0.000130196480313316,-0.014391213655471802,0.014261017553508282,109.53458404541016,2,366.6627197265625
layer3.0.conv2.weight,41,467,layer3.0.conv2.weight_ch41_w467,0.00022991331934463233,-0.02468106895685196,0.024910982698202133,108.34945678710938,6,169.94517517089844
layer3.0.conv2.weight,41,1599,layer3.0.conv2.weight_ch41_w1599,-0.00011362534860381857,0.011929040774703026,0.012042665854096413,105.98573303222656,7,169.94517517089844
layer4.0.conv3.weight,424,239,layer4.0.conv3.weight_ch424_w239,-0.00010219185060122982,-0.009714622981846333,0.009612430818378925,94.0625991821289,3,755.06591796875
layer3.5.conv3.weight,356,24,layer3.5.conv3.weight_ch356_w24,0.0004705488099716604,0.044610463082790375,0.04413991421461105,93.80517578125,4,204.21392822265625
layer4.0.conv3.weight,375,76,layer4.0.conv3.weight_ch375_w76,-7.584028207929805e-05,0.007023904472589493,0.007099744863808155,93.61443328857422,2,430.2731628417969
layer3.5.conv3.weight,123,105,layer3.5.conv3.weight_ch123_w105,-0.00017703164485283196,0.01564580574631691,0.015822837129235268,89.37857818603516,2,108.0876693725586
layer4.0.conv3.weight,1270,495,layer4.0.conv3.weight_ch1270_w495,8.420166705036536e-05,-0.007116931490600109,0.007201133295893669,85.52245330810547,5,219.80873107910156
layer4.0.conv3.weight,92,352,layer4.0.conv3.weight_ch92_w352,0.00026591616915538907,0.022227752953767776,0.021961836144328117,82.58932495117188,5,218.39425659179688
layer4.0.conv3.weight,92,320,layer4.0.conv3.weight_ch92_w320,-9.731652971822768e-05,-0.007449825294315815,0.00735250860452652,75.5525131225586,6,218.39425659179688
layer3.0.conv2.weight,41,2074,layer3.0.conv2.weight_ch41_w2074,9.835368109634146e-05,0.007519885431975126,0.007421531714498997,75.45758819580078,8,169.94517517089844
layer3.5.conv3.weight,356,167,layer3.5.conv3.weight_ch356_w167,0.0007120078662410378,0.05395583063364029,0.05324382334947586,74.77982330322266,5,204.21392822265625
layer3.0.conv2.weight,41,193,layer3.0.conv2.weight_ch41_w193,0.00021809821191709489,-0.015209496021270752,0.01542759407311678,70.7369155883789,9,169.94517517089844
layer3.0.conv2.weight,41,2171,layer3.0.conv2.weight_ch41_w2171,-0.00011833763710455969,0.00821561086922884,0.008333948440849781,70.4251708984375,10,169.94517517089844
layer4.0.conv3.weight,1471,124,layer4.0.conv3.weight_ch1471_w124,8.25918250484392e-05,0.005746852140873671,0.005664260126650333,68.58136749267578,4,183.11932373046875
layer4.0.conv3.weight,424,55,layer4.0.conv3.weight_ch424_w55,-0.0009015328250825405,0.057742346078157425,0.058643877506256104,65.04907989501953,4,755.06591796875
layer4.0.conv3.weight,375,464,layer4.0.conv3.weight_ch375_w464,-0.00015213874576147646,-0.00900157168507576,0.008849432691931725,58.1668586730957,3,430.2731628417969
layer4.0.conv3.weight,424,26,layer4.0.conv3.weight_ch424_w26,4.15492759202607e-05,-0.0023542367853224277,0.0023957861121743917,57.661319732666016,5,755.06591796875
layer4.0.conv3.weight,1989,369,layer4.0.conv3.weight_ch1989_w369,-0.0003322420525364578,-0.017911165952682495,0.01757892407476902,52.90999221801758,3,96.66287231445312
layer4.0.conv3.weight,1989,444,layer4.0.conv3.weight_ch1989_w444,9.856913675321266e-05,-0.004863287787884474,0.004961857106536627,50.33885192871094,4,96.66287231445312
layer3.5.conv3.weight,1000,209,layer3.5.conv3.weight_ch1000_w209,0.0003267063875682652,-0.01583520695567131,0.01616191305220127,49.46923065185547,2,96.46139526367188
layer2.2.conv2.weight,53,694,layer2.2.conv2.weight_ch53_w694,-0.0003780657425522804,-0.01769036240875721,0.017312295734882355,45.7917594909668,4,232.69427490234375
layer4.0.conv3.weight,941,3,layer4.0.conv3.weight_ch941_w3,0.00017769949045032263,0.008204212412238121,0.008026513271033764,45.169029235839844,2,92.2065200805664
layer4.0.conv3.weight,1270,308,layer4.0.conv3.weight_ch1270_w308,0.00046226155245676637,0.019560031592845917,0.019097769632935524,41.31377410888672,6,219.80873107910156
layer4.0.conv3.weight,1471,486,layer4.0.conv3.weight_ch1471_w486,0.0003888608771376312,0.016239620745182037,0.01585076004266739,40.76203155517578,5,183.11932373046875
layer3.5.conv3.weight,356,179,layer3.5.conv3.weight_ch356_w179,-0.0002942947612609714,0.011148465797305107,0.011442760936915874,38.88197326660156,6,204.21392822265625
layer4.0.conv3.weight,941,280,layer4.0.conv3.weight_ch941_w280,-0.00021193947759456933,-0.008149942383170128,0.007938003167510033,37.454105377197266,3,92.2065200805664
layer2.2.conv3.weight,387,37,layer2.2.conv3.weight_ch387_w37,-0.0006540085887536407,-0.02457369677722454,0.023919688537716866,36.57396697998047,2,1617.40234375
layer4.0.conv3.weight,1471,462,layer4.0.conv3.weight_ch1471_w462,0.0002159762807423249,0.0076944236643612385,0.007478447165340185,34.626243591308594,6,183.11932373046875
layer4.0.conv3.weight,2024,445,layer4.0.conv3.weight_ch2024_w445,-0.00014682943583466113,-0.0050449189729988575,0.004898089449852705,33.35904312133789,3,84.30793762207031
layer2.2.conv2.weight,53,745,layer2.2.conv2.weight_ch53_w745,8.998661360237747e-05,0.0030485689640045166,0.0029585822485387325,32.87802505493164,5,232.69427490234375
layer4.0.conv3.weight,1471,3,layer4.0.conv3.weight_ch1471_w3,-0.0003552874259185046,0.010934365913271904,0.011289653368294239,31.776113510131836,7,183.11932373046875
layer4.0.conv3.weight,32,92,layer4.0.conv3.weight_ch32_w92,-0.0006667579873465002,0.019577207043766975,0.020243965089321136,30.361787796020508,3,366.6627197265625
layer4.0.conv3.weight,92,17,layer4.0.conv3.weight_ch92_w17,-0.0002268086827825755,0.006540424656122923,0.006767233368009329,29.836748123168945,7,218.39425659179688
layer4.0.conv3.weight,375,16,layer4.0.conv3.weight_ch375_w16,-0.0006443712627515197,-0.019512202590703964,0.01886783167719841,29.280994415283203,4,430.2731628417969
layer4.0.conv3.weight,1989,373,layer4.0.conv3.weight_ch1989_w373,0.0004611061012838036,0.013912503607571125,0.01345139741897583,29.172021865844727,5,96.66287231445312
layer2.2.conv2.weight,53,1123,layer2.2.conv2.weight_ch53_w1123,-0.0003977788728661835,0.011111400090157986,0.011509179137647152,28.933610916137695,6,232.69427490234375
layer4.0.conv3.weight,424,298,layer4.0.conv3.weight_ch424_w298,0.00012355358921922743,0.0036955515388399363,0.0035719978623092175,28.91051483154297,6,755.06591796875
layer4.0.conv3.weight,1270,348,layer4.0.conv3.weight_ch1270_w348,0.0006074965931475163,-0.016246413812041283,0.01685390993952751,27.74321746826172,7,219.80873107910156
layer4.0.conv3.weight,424,254,layer4.0.conv3.weight_ch424_w254,0.0009473988320678473,0.026915451511740685,0.025968052446842194,27.409841537475586,7,755.06591796875
layer2.2.conv3.weight,42,51,layer2.2.conv3.weight_ch42_w51,0.000127423059893772,0.003592377994209528,0.0034649549052119255,27.19252586364746,2,138.12139892578125
