layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer3.0.conv2.weight,232,134,layer3.0.conv2.weight_ch232_w134,3.546718289726414e-05,-0.014915171079337597,0.014950638636946678,421.534423828125,3,96.09536743164062
layer4.0.conv2.weight,466,503,layer4.0.conv2.weight_ch466_w503,-1.9132312445435673e-05,0.007624979596585035,0.007644111756235361,399.53936767578125,4,243.69485473632812
layer4.0.conv2.weight,419,2229,layer4.0.conv2.weight_ch419_w2229,-4.565360359265469e-05,-0.017264626920223236,0.017218973487615585,377.16571044921875,4,51.950164794921875
layer4.0.conv2.weight,419,459,layer4.0.conv2.weight_ch419_w459,-2.5077690224861726e-05,0.009203449822962284,0.009228527545928955,367.99749755859375,5,51.950164794921875
layer4.0.conv2.weight,419,2308,layer4.0.conv2.weight_ch419_w2308,-3.092625047429465e-05,-0.011037522926926613,0.011006596498191357,355.898193359375,6,51.950164794921875
layer4.1.conv2.weight,40,1624,layer4.1.conv2.weight_ch40_w1624,-1.9033326680073515e-05,0.00674830749630928,0.006767340935766697,355.55218505859375,3,154.69192504882812
layer3.0.conv2.weight,232,1987,layer3.0.conv2.weight_ch232_w1987,-5.7752309658098966e-05,0.019314324483275414,0.01937207765877247,335.4338073730469,4,96.09536743164062
layer2.3.conv2.weight,44,590,layer2.3.conv2.weight_ch44_w590,-6.144864164525643e-05,0.01969599723815918,0.01975744590163231,321.5278015136719,3,1058.859619140625
layer3.3.conv2.weight,3,1433,layer3.3.conv2.weight_ch3_w1433,-4.4758704461855814e-05,-0.014028470031917095,0.01398371160030365,312.4244079589844,3,246.599609375
layer4.0.conv2.weight,419,4163,layer4.0.conv2.weight_ch419_w4163,-2.547723488532938e-05,-0.00795600563287735,0.007930528372526169,311.27899169921875,7,51.950164794921875
layer3.1.conv3.weight,502,184,layer3.1.conv3.weight_ch502_w184,-0.00014133533113636076,0.041360776871442795,0.04150211066007614,293.6428527832031,2,112.03736877441406
layer4.1.conv2.weight,365,3030,layer4.1.conv2.weight_ch365_w3030,-6.606498209293932e-05,0.017926353961229324,0.017992418259382248,272.3442687988281,5,247.37911987304688
layer4.1.conv2.weight,40,2749,layer4.1.conv2.weight_ch40_w2749,-2.1589146854239516e-05,-0.0057036601938307285,0.005682071205228567,263.19110107421875,4,154.69192504882812
layer4.0.conv2.weight,466,3440,layer4.0.conv2.weight_ch466_w3440,6.835066596977413e-05,-0.017875228077173233,0.017943577840924263,262.5223693847656,5,243.69485473632812
layer4.0.conv2.weight,419,1798,layer4.0.conv2.weight_ch419_w1798,9.667217818787321e-05,-0.024742979556322098,0.024839650839567184,256.947265625,8,51.950164794921875
layer3.3.conv2.weight,3,452,layer3.3.conv2.weight_ch3_w452,5.157941996003501e-05,0.013071049936115742,0.013019470497965813,252.41600036621094,4,246.599609375
layer2.1.conv2.weight,51,583,layer2.1.conv2.weight_ch51_w583,0.0002938321267720312,0.07363462448120117,0.07334079593420029,249.60101318359375,2,191.0498809814453
layer3.0.conv2.weight,172,1991,layer3.0.conv2.weight_ch172_w1991,1.3014337127970066e-05,0.003072414780035615,0.0030594004783779383,235.07923889160156,2,72.45894622802734
layer3.0.conv1.weight,51,240,layer3.0.conv1.weight_ch51_w240,-9.768362360773608e-05,0.022089550271630287,0.022187232971191406,227.13360595703125,3,1786.9342041015625
layer4.0.conv2.weight,419,2785,layer4.0.conv2.weight_ch419_w2785,-7.915633614175022e-05,-0.017537083476781845,0.017457926645874977,220.54995727539062,9,51.950164794921875
layer4.1.conv2.weight,40,780,layer4.1.conv2.weight_ch40_w780,1.906226680148393e-05,-0.004081689286977053,0.004100751597434282,215.1240234375,5,154.69192504882812
layer4.0.conv2.weight,466,762,layer4.0.conv2.weight_ch466_w762,2.8161448426544666e-05,-0.005883581470698118,0.005911742802709341,209.92324829101562,6,243.69485473632812
layer3.0.conv2.weight,172,843,layer3.0.conv2.weight_ch172_w843,-5.345647150534205e-05,0.010694378986954689,0.010747835040092468,201.0576934814453,3,72.45894622802734
layer4.1.conv2.weight,40,1639,layer4.1.conv2.weight_ch40_w1639,-2.8313981601968408e-05,-0.0057062311097979546,0.005677917040884495,200.53404235839844,6,154.69192504882812
layer3.1.conv3.weight,502,45,layer3.1.conv3.weight_ch502_w45,-0.00015720516967121512,0.029579443857073784,0.029736649245023727,189.15821838378906,3,112.03736877441406
layer3.0.conv2.weight,172,493,layer3.0.conv2.weight_ch172_w493,8.732095011509955e-05,-0.01619190163910389,0.016279222443699837,186.42974853515625,4,72.45894622802734
layer4.0.conv2.weight,419,3221,layer4.0.conv2.weight_ch419_w3221,-0.00012635774328373373,0.022873735055327415,0.023000093176960945,182.02362060546875,10,51.950164794921875
layer3.0.conv2.weight,172,2018,layer3.0.conv2.weight_ch172_w2018,-0.00010518851922824979,-0.018535228446125984,0.018430039286613464,175.20960998535156,5,72.45894622802734
layer3.0.conv2.weight,250,1774,layer3.0.conv2.weight_ch250_w1774,0.0001947684504557401,0.033715784549713135,0.03352101519703865,172.1070098876953,3,117.14542388916016
layer4.1.conv2.weight,40,4407,layer4.1.conv2.weight_ch40_w4407,-7.69434409448877e-05,0.013150667771697044,0.013227610848844051,171.91343688964844,7,154.69192504882812
layer4.0.conv2.weight,423,4309,layer4.0.conv2.weight_ch423_w4309,0.0001798152516130358,0.03081413172185421,0.030634315684437752,170.36550903320312,6,66.71382141113281
layer3.1.conv3.weight,502,21,layer3.1.conv3.weight_ch502_w21,-0.00037701294058933854,0.06131741404533386,0.0616944283246994,163.64007568359375,4,112.03736877441406
layer4.1.conv2.weight,365,2571,layer4.1.conv2.weight_ch365_w2571,-3.376678068889305e-05,-0.005531882867217064,0.0054981159046292305,162.82618713378906,6,247.37911987304688
layer4.1.conv2.weight,40,3514,layer4.1.conv2.weight_ch40_w3514,-4.444268415682018e-05,-0.007064937613904476,0.0070204949006438255,157.96739196777344,8,154.69192504882812
layer4.1.conv2.weight,365,2049,layer4.1.conv2.weight_ch365_w2049,-5.7795579778030515e-05,-0.00910922046750784,0.009051424451172352,156.61102294921875,7,247.37911987304688
layer3.0.conv2.weight,232,1320,layer3.0.conv2.weight_ch232_w1320,-0.00010470579582033679,0.015589956194162369,0.01569466106593609,149.89295959472656,5,96.09536743164062
layer4.1.conv2.weight,365,4374,layer4.1.conv2.weight_ch365_w4374,6.0758837207686156e-05,0.00883767381310463,0.00877691525965929,144.4549560546875,8,247.37911987304688
layer3.0.conv2.weight,232,902,layer3.0.conv2.weight_ch232_w902,0.00010188113810727373,-0.014471503905951977,0.014573385007679462,143.0430145263672,6,96.09536743164062
layer4.0.conv2.weight,466,2977,layer4.0.conv2.weight_ch466_w2977,-7.91513011790812e-05,-0.010776480659842491,0.01069732941687107,135.150390625,7,243.69485473632812
layer3.0.conv2.weight,250,571,layer3.0.conv2.weight_ch250_w571,-5.2818468248005956e-05,0.0070111434906721115,0.0070639620535075665,133.74038696289062,4,117.14542388916016
layer3.0.conv1.weight,119,358,layer3.0.conv1.weight_ch119_w358,0.00021120057499501854,0.028346074745059013,0.028134874999523163,133.21400451660156,2,74.17308044433594
layer4.1.conv2.weight,365,2428,layer4.1.conv2.weight_ch365_w2428,5.343318480299786e-05,0.00707672955468297,0.007023296318948269,131.4407196044922,9,247.37911987304688
layer4.1.conv2.weight,40,898,layer4.1.conv2.weight_ch40_w898,-0.00010268685582559556,0.013114630244672298,0.013217316940426826,128.71478271484375,9,154.69192504882812
layer2.1.conv2.weight,51,679,layer2.1.conv2.weight_ch51_w679,0.00022825143241789192,0.029513772577047348,0.029285520315170288,128.30377197265625,3,191.0498809814453
layer3.0.conv2.weight,250,1885,layer3.0.conv2.weight_ch250_w1885,-0.00012866278120782226,-0.01661624386906624,0.01648758165538311,128.14569091796875,5,117.14542388916016
layer2.1.conv2.weight,51,880,layer2.1.conv2.weight_ch51_w880,0.00012286391574889421,0.01585564948618412,0.015732785686850548,128.0504913330078,4,191.0498809814453
layer4.1.conv2.weight,365,4137,layer4.1.conv2.weight_ch365_w4137,-0.0001120026790886186,0.01381294708698988,0.013924949802458286,124.32693481445312,10,247.37911987304688
layer4.0.conv2.weight,423,4406,layer4.0.conv2.weight_ch423_w4406,8.764577069086954e-05,-0.010782561264932156,0.010870207101106644,124.02432250976562,7,66.71382141113281
layer4.0.conv2.weight,466,1092,layer4.0.conv2.weight_ch466_w1092,-3.582542558433488e-05,-0.004397748038172722,0.004361922387033701,121.75493621826172,8,243.69485473632812
layer4.0.conv2.weight,423,590,layer4.0.conv2.weight_ch423_w590,0.00010783395555336028,-0.012421760708093643,0.012529594823718071,116.19340515136719,8,66.71382141113281
layer3.0.conv2.weight,250,1924,layer3.0.conv2.weight_ch250_w1924,0.00012518212315626442,0.014635613188147545,0.014510431326925755,115.91456604003906,6,117.14542388916016
layer3.0.conv2.weight,250,1647,layer3.0.conv2.weight_ch250_w1647,8.894353959476575e-05,0.010369549505412579,0.010280606336891651,115.58575439453125,7,117.14542388916016
layer3.0.conv2.weight,232,1737,layer3.0.conv2.weight_ch232_w1737,2.0960978872608393e-05,0.0024254759773612022,0.0024045149330049753,114.7138671875,7,96.09536743164062
layer2.1.conv2.weight,51,932,layer2.1.conv2.weight_ch51_w932,-5.1778784836642444e-05,-0.0059083327651023865,0.00585655402392149,113.10721588134766,5,191.0498809814453
layer4.0.conv2.weight,466,2750,layer4.0.conv2.weight_ch466_w2750,-0.00017983256839215755,-0.020172907039523125,0.019993074238300323,111.1760482788086,9,243.69485473632812
layer4.0.conv2.weight,466,566,layer4.0.conv2.weight_ch466_w566,8.838313806336373e-05,0.009803068824112415,0.009714685380458832,109.91559600830078,10,243.69485473632812
layer3.0.conv2.weight,250,1565,layer3.0.conv2.weight_ch250_w1565,-0.00012651694123633206,-0.013214641250669956,0.013088123872876167,103.44957733154297,8,117.14542388916016
layer2.1.conv2.weight,51,445,layer2.1.conv2.weight_ch51_w445,-0.00017097446834668517,0.0170662272721529,0.01723720133304596,100.81739807128906,6,191.0498809814453
layer4.1.conv2.weight,40,3255,layer4.1.conv2.weight_ch40_w3255,8.98250873433426e-05,-0.008908010087907314,0.008997835218906403,100.17062377929688,10,154.69192504882812
layer4.0.conv2.weight,423,3300,layer4.0.conv2.weight_ch423_w3300,5.225039421929978e-05,-0.005156540311872959,0.005208790767937899,99.68902587890625,9,66.71382141113281
layer3.0.conv2.weight,250,2019,layer3.0.conv2.weight_ch250_w2019,-7.606070084875682e-06,-0.0007497417973354459,0.0007421357440762222,97.5715103149414,9,117.14542388916016
layer3.0.conv1.weight,225,81,layer3.0.conv1.weight_ch225_w81,0.0006607949617318809,0.06484537571668625,0.06418458372354507,97.13237762451172,2,69.71963500976562
layer2.3.conv2.weight,44,462,layer2.3.conv2.weight_ch44_w462,0.00012400549894664437,0.011928199790418148,0.011804194189608097,95.1908950805664,4,1058.859619140625
layer4.0.conv2.weight,423,3539,layer4.0.conv2.weight_ch423_w3539,0.00023374716693069786,-0.02193417400121689,0.02216792106628418,94.83717346191406,10,66.71382141113281
layer3.0.conv2.weight,250,1576,layer3.0.conv2.weight_ch250_w1576,-0.0002582396555226296,0.024049950763583183,0.024308189749717712,94.13035583496094,10,117.14542388916016
layer3.3.conv2.weight,3,665,layer3.3.conv2.weight_ch3_w665,0.0001182000560220331,0.010991357266902924,0.010873157531023026,91.98944854736328,5,246.599609375
layer3.0.conv2.weight,232,208,layer3.0.conv2.weight_ch232_w208,-0.0001680563436821103,0.014767082408070564,0.014935138635337353,88.86982727050781,8,96.09536743164062
layer3.0.conv2.weight,232,1202,layer3.0.conv2.weight_ch232_w1202,-0.000103103528090287,-0.009135156869888306,0.00903205294162035,87.6017837524414,9,96.09536743164062
layer3.0.conv2.weight,172,1237,layer3.0.conv2.weight_ch172_w1237,0.00019063860236201435,0.016526855528354645,0.016336217522621155,85.69207763671875,6,72.45894622802734
layer2.1.conv2.weight,51,1078,layer2.1.conv2.weight_ch51_w1078,-0.000308902031974867,0.02439155988395214,0.024700462818145752,79.96212768554688,7,191.0498809814453
layer3.3.conv2.weight,50,1412,layer3.3.conv2.weight_ch50_w1412,8.510732732247561e-05,0.006846683099865913,0.00676157558336854,79.4476318359375,4,108.63851928710938
layer3.0.conv2.weight,232,307,layer3.0.conv2.weight_ch232_w307,-0.00022733600053470582,-0.0179680697619915,0.017740733921527863,78.03750610351562,10,96.09536743164062
