channel_id,weight_index,weight_id,relative_change
layer3.5.conv3.weight_ch666,199,layer3.5.conv3.weight_ch666_w199,9.907390594482422
layer3.0.conv3.weight_ch501,229,layer3.0.conv3.weight_ch501_w229,9.885299682617188
layer3.1.conv3.weight_ch877,219,layer3.1.conv3.weight_ch877_w219,9.663637161254883
layer1.2.conv3.weight_ch135,14,layer1.2.conv3.weight_ch135_w14,8.939498901367188
layer3.5.conv3.weight_ch666,112,layer3.5.conv3.weight_ch666_w112,8.774267196655273
layer3.5.conv3.weight_ch666,99,layer3.5.conv3.weight_ch666_w99,8.597779273986816
layer3.2.conv3.weight_ch366,227,layer3.2.conv3.weight_ch366_w227,8.44876480102539
layer3.1.conv3.weight_ch376,237,layer3.1.conv3.weight_ch376_w237,8.19545841217041
layer3.0.conv3.weight_ch226,129,layer3.0.conv3.weight_ch226_w129,8.135763168334961
layer3.3.conv3.weight_ch140,55,layer3.3.conv3.weight_ch140_w55,8.076630592346191
layer2.1.conv3.weight_ch466,51,layer2.1.conv3.weight_ch466_w51,8.027507781982422
layer3.0.conv3.weight_ch226,239,layer3.0.conv3.weight_ch226_w239,7.8925676345825195
layer3.0.conv3.weight_ch226,190,layer3.0.conv3.weight_ch226_w190,7.885878562927246
layer3.1.conv3.weight_ch376,174,layer3.1.conv3.weight_ch376_w174,7.791228771209717
layer2.1.conv3.weight_ch172,64,layer2.1.conv3.weight_ch172_w64,7.688350677490234
layer3.0.conv3.weight_ch501,254,layer3.0.conv3.weight_ch501_w254,7.6732683181762695
layer3.4.conv3.weight_ch558,10,layer3.4.conv3.weight_ch558_w10,7.499642848968506
layer3.0.conv3.weight_ch501,152,layer3.0.conv3.weight_ch501_w152,7.449041843414307
layer3.0.conv3.weight_ch226,60,layer3.0.conv3.weight_ch226_w60,7.424675941467285
layer3.1.conv3.weight_ch376,138,layer3.1.conv3.weight_ch376_w138,7.37724494934082
layer3.0.conv3.weight_ch501,88,layer3.0.conv3.weight_ch501_w88,7.08388090133667
layer3.4.conv3.weight_ch558,98,layer3.4.conv3.weight_ch558_w98,6.878541946411133
layer2.1.conv3.weight_ch466,8,layer2.1.conv3.weight_ch466_w8,6.805774211883545
layer2.1.conv3.weight_ch466,84,layer2.1.conv3.weight_ch466_w84,6.7443437576293945
layer3.3.conv3.weight_ch140,56,layer3.3.conv3.weight_ch140_w56,6.608645915985107
layer3.3.conv3.weight_ch140,171,layer3.3.conv3.weight_ch140_w171,6.451584339141846
layer3.2.conv3.weight_ch366,207,layer3.2.conv3.weight_ch366_w207,6.360667705535889
layer2.1.conv3.weight_ch466,102,layer2.1.conv3.weight_ch466_w102,6.358457088470459
layer2.1.conv3.weight_ch172,92,layer2.1.conv3.weight_ch172_w92,5.9952168464660645
layer2.1.conv3.weight_ch466,111,layer2.1.conv3.weight_ch466_w111,5.581099987030029
layer2.1.conv3.weight_ch466,32,layer2.1.conv3.weight_ch466_w32,5.571951866149902
layer3.1.conv3.weight_ch877,74,layer3.1.conv3.weight_ch877_w74,5.468510150909424
layer3.1.conv3.weight_ch376,34,layer3.1.conv3.weight_ch376_w34,5.344797134399414
layer3.1.conv3.weight_ch376,218,layer3.1.conv3.weight_ch376_w218,5.280357360839844
layer3.4.conv3.weight_ch558,125,layer3.4.conv3.weight_ch558_w125,5.201305866241455
layer3.4.conv3.weight_ch558,189,layer3.4.conv3.weight_ch558_w189,5.180445671081543
layer3.1.conv3.weight_ch877,208,layer3.1.conv3.weight_ch877_w208,5.13300085067749
layer2.1.conv3.weight_ch466,116,layer2.1.conv3.weight_ch466_w116,4.714113235473633
layer2.1.conv3.weight_ch172,70,layer2.1.conv3.weight_ch172_w70,4.467474937438965
layer3.1.conv3.weight_ch877,103,layer3.1.conv3.weight_ch877_w103,4.375198841094971
layer2.1.conv3.weight_ch172,125,layer2.1.conv3.weight_ch172_w125,4.248235702514648
layer1.2.conv3.weight_ch135,4,layer1.2.conv3.weight_ch135_w4,4.216098785400391
layer1.2.conv3.weight_ch135,41,layer1.2.conv3.weight_ch135_w41,4.212551116943359
layer3.1.conv3.weight_ch877,242,layer3.1.conv3.weight_ch877_w242,4.116992473602295
layer2.1.conv3.weight_ch172,67,layer2.1.conv3.weight_ch172_w67,3.9794111251831055
layer2.1.conv3.weight_ch172,50,layer2.1.conv3.weight_ch172_w50,3.9762139320373535
layer1.2.conv3.weight_ch135,16,layer1.2.conv3.weight_ch135_w16,3.8162009716033936
layer3.1.conv3.weight_ch877,51,layer3.1.conv3.weight_ch877_w51,3.7934772968292236
layer3.1.conv3.weight_ch877,193,layer3.1.conv3.weight_ch877_w193,3.6434216499328613
layer2.1.conv3.weight_ch172,88,layer2.1.conv3.weight_ch172_w88,2.8902597427368164
